680pF,1,C8,~,~
0.01uF 25V,2,C3 C12,~,~
0.47uF 16V,2,C19 C20,0805,~
0.47uF 16V,2,C11 C18,~,~
1uF 10V,7,C1 C2 C4 C5 C10 C14 C17,~,~
10uF 16V,1,C21,0805,~
10uF 16V,6,C6 C7 C9 C13 C15 C16,~,~
BAS40-05-V,1,D1,,http://www.vishay.com/docs/85701/bas40v.pdf
CMS06,1,D2,~,~
10uH 60mOhm 3A,1,L1,~,~
JST_XH_2,2,P1 P4,,
TEST_POINT,8,P2 P3 P5 P6 P7 P9 P10 P11,,
1x2_2.54_Fem,1,P8,,
JST_XH_8,1,P12,,
LAUNCHPAD_J1_J3,1,P13,,
LAUNCHPAD_J2_J4,1,P14,,
1x8_2_54_FEM,1,P15,,
2x3_2_54_RA_MALE,1,P16,,
1x2_2_54_MALE,1,P17,,
SI1012CR,3,Q1 Q3 Q4,SC-75A,http://www.vishay.com/docs/67519/si1012cr.pdf
SI2333DDS,1,Q2,SOT-23,http://www.vishay.com/docs/63861/si2333dds.pdf
825,1,R3,~,~
2k,1,R4,~,~
9.09k_0.1%,4,R1 R2 R19 R20,~,~
10k,2,R9 R14,~,~
31.6k,1,R8,~,~
100k,8,R5 R10 R12 R13 R15 R16 R17 R18,~,~
1M,2,R6 R7,~,~
0Ohm,1,R11,~,~
TSA12110,2,SW1 SW3,,
EN11-HSB,1,SW2,EN11-HSB,
TPS73633DCQ,1,U1,,http://www.ti.com/lit/ds/symlink/tps73633.pdf
TPS78233DDC,1,U2,,http://www.ti.com/lit/ds/symlink/tps78233.pdf
BQ24092DGQ,1,U3,,http://www.ti.com/lit/ds/symlink/bq24092.pdf
TPS73633DBV,1,U5,,http://www.ti.com/lit/ds/symlink/tps73633.pdf
MS5611-01BA03,1,U6,,
S25FL216K0PMFI040,1,U9,,
LM2735Y,1,U4,~,http://www.ti.com/lit/ds/symlink/lm2735.pdf
V_BOOST,2,U7 U8,~,~
VDD_MCU,1,U10,~,~
REF3312,1,U11,~,http://www.ti.com/lit/ds/symlink/ref3312.pdf
